# position,title,source,price,extracted_price,old_price,delivery,thumbnail,rating,reviews,store_rating,store_reviews
23,Apple iPhone 14 Pro Max - 128 GB - Deep Purple - AT&T,AT&T,$0.00,0.0,NA,6.3 mi · In stock,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRzS6zvt5YJYKNx7nzmYtPtEwcnJT3uDKuehv_YjUgMowkL9dW26WhUk2gDs4rReFJR-yPZWN4&usqp=CAE,4.6,15647,4.3,NA
24,Samsung Galaxy S23 - 128 GB - Cream - Unlocked,Samsung,$699.99,699.99,NA,Free delivery by May 10 & Free 15-day returns,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSZ5gyCJMxISHnyWLAdkNcF4dbfLL2KtlB9TTkCkSLZ04pxcK4cViH48d8829U&usqp=CAE,4.6,29102,4.0,2400
25,Nothing Technologies Nothing Phone (2) - 512 GB - Dark Grey - Unlocked,ngpstoreusa,$638.00,638.0,NA,Free delivery by Mon Apr 29,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRMc5TG7FaujiAMnkTmKv_-S1cCcGqeE-24OT5GQm1Wo51NSPxY396b1LRkWQ&usqp=CAE,4.7,375,NA,NA
26,Samsung Galaxy A53 5G Unlocked (128GB) Smartphone - Black,eBay - fonelogics,$219.99,219.99,NA,Free delivery by Wed May 1,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQd60jshJl2YxUF9JYDZ1ZrT5qdpJc09fJ2w6QA6JMUq7uArVXTJCzydHv2OMY&usqp=CAE,4.4,5958,NA,NA
27,Hiegou Unlocked Smartphone 67inch Cell Phone S22 Ultra 2+16gb HD Full Screen ...,Amazon - Seller,$89.99,89.99,NA,Free delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSIiAEAY3Ugtpcddprs_wJxmkqEVT16_nOa4zLK___uqWhfZlMjxWo4dGfd2lIqqgXxksjwtzRb&usqp=CAE,NA,NA,NA,NA
28,Apple iPhone 13 - 5G smartphone - dual-SIM 128 GB - Oled display - 6.1 inch ...,NFM,$629.99,629.99,NA,+Shipping,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcT-RFOXD_V7EpDTVbgIM1avtxq32gp20m3s4oJYaXkeOiAonnIxhAJ6wkb_FSFU59hklMEIVdgA&usqp=CAE,4.7,38958,4.7,25400
29,Straight Talk Apple iPhone 11 64gb White - Prepaid Smartphone,Dell Save Shop,$99.99,99.99,NA,Free delivery by Sun Apr 28,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSFM0jlflMWXZRuZgLnSrEYrkAAxnuOw_7LCFOYKbmyV4kDLFhYojrZFS8Biw&usqp=CAE,4.5,75284,NA,NA
30,Punkt MP02 Grey - New Generation 4G LTE Minimalist Mobile Phone,Dumb Wireless,$315.00,315.0,NA,Free delivery by Thu Apr 25,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSHTR33uxWeyzpfpVSq9GafEHrl_HGp-oeoaVMlSYip1FWdKfw3WaevVOe3papmGzcD8VPXfdUF&usqp=CAE,NA,NA,NA,NA
31,Samsung Galaxy S23+ - 256 GB - Lavender - Unlocked,fusion electronics,$1119.99,1119.99,NA,Free delivery by Tue May 7,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQwWLDkmd29JQH2vd-Cp4cdVT33BuQH1ge8bDAemjVW36RdJJ8fmx2sXaj4voP0eNtLERapqRMJ&usqp=CAE,4.7,13557,4.6,86
32,Apple iPhone 15 Unlocked Black  Screen,Back Market,$649.95,649.95,NA,Delivery by Wed May 1,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS8gmWAVc5CnDs2GjPv2cIYIXQKdZssvjGeLcc_Bu6bPnL6uwIoZ1eiy4A3yu8&usqp=CAE,4.6,8443,4.6,12700
33,OnePlus Nord N200 5G 64GB Blue Quantum Unlocked,Sam's Club,$189.98,189.98,NA,$75.40 delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTIfzkDaYUjD4gGGt89SubS-GhG7Zkl3iiSqdXj5Zua3pSL67Cv03vY0I2B4A&usqp=CAE,3.9,920,4.5,459
34,Motorola Moto G Stylus 2023 Unlocked Made for US 4/64GB 50 Mp Camera Midnight ...,Newegg - DemProductSales,$196.99,196.99,NA,Free delivery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSTa-TeP9roTng7NYoZNe7jnVq7EyhEOqpT3awzSEzY3m-HPM7sRKQ4ZTE03Pec_aOv5yqTNjJJ&usqp=CAE,3.8,899,NA,NA
